,Name,Grade,Crag,Date
0,Gruesome Mantel,f6A,Burbage North,2023-02-07
1,Leaning Wall Start,f4+,Burbage North,2023-02-07
2,Little White Jug Start,f4,Burbage North,2023-02-07
3,Banana Finger Direct,f6C,Burbage North,2023-01-06
4,Banana Right-hand,f5+,Burbage North,2023-01-06
5,Jive Arête,f6A,Smallfield,2022-11-04
6,Larger Lout,f6C+,Smallfield,2022-11-04
7,Blue 27 La Niche Au Sapin,f3,Mont Aigu,2022-10-22
8,Blue 11,f3+,Mont Aigu,2022-10-22
9,Blue 13,f4,Mont Aigu,2022-10-22
10,La Méridionale (Blue 16),f4,Mont Aigu,2022-10-22
11,La Bouboule (blue 10),f4+,Mont Aigu,2022-10-22
12,Blue 9,f4,Mont Aigu,2022-10-22
13,La Réuni (Blue 2),f4,Mont Aigu,2022-10-22
14,1 Blue La Récréation,f4+,Mont Aigu,2022-10-22
15,The B8,f7A,Back Tor,2022-09-24
16,Back to Front,f7A,Back Tor,2022-09-24
17,Cleo's Slab,f2+,Burbage North,2022-07-02
18,Definitive 5.12,f6C,Burbage North,2022-07-02
19,Little Groove,f6B,Carrock Fell Crag,2022-06-23
20,Gift of the Gabbro,f6C,Carrock Fell Crag,2022-06-23
21,LDB Problem 164,f6C+,Carrock Fell Crag,2022-06-23
22,LDB Problem 175,f6A,Carrock Fell Crag,2022-06-23
23,LDB Problem 174,f6A+,Carrock Fell Crag,2022-06-23
24,Hemline,f7A+,Higgar Tor,2022-05-24
25,Tiniest roof without footblock,f7A,Burbage North,2022-04-19
26,Dog's Arse Left Sit-start,f7A,Burbage South Valley Boulders,2022-04-19
27,Green Scoop Mantel,f6A,Burbage South Valley Boulders,2022-04-19
28,Bugs,f5+,Burbage South Valley Boulders,2022-04-19
29,Deep Pocket,f6A,Burbage South Valley Boulders,2022-04-19
30,Top of Ramp,f5,Burbage South Valley Boulders,2022-04-19
31,Reachy Arête,f5+,Burbage South Valley Boulders,2022-04-19
32,The Low Prow,f6A,Higgar Tor,2022-04-14
33,Low Lip Traverse,f5+,Stanage Plantation,2022-04-11
34,Sitting in Oxford,f7A,Burbage North,2022-01-20
35,Quintessential Higgarisms,f7A,Higgar Tor,2021-11-08
36,Fallen Slab Lip,f7A,Burbage North,2021-10-04
37,Rim Flake,f5+,Stanage Popular,2021-09-06
38,The Rim,f6A+,Stanage Popular,2021-09-06
39,The Cobra,f5+,Burbage South Valley Boulders,2021-09-06
40,Block Party,f3+,Stanage Popular,2021-08-23
41,Block Wall,f5+,Stanage Popular,2021-08-23
42,Block Arête,f5+,Stanage Popular,2021-08-23
43,Slope John A.,f6C,Stanage Popular,2021-08-23
44,Slopers Crimp Problem,f5+,Stanage Popular,2021-08-23
45,Right Arête of Jim Jam Block,f6A+,Blindside Rocks,2021-08-17
46,15 - The Crack,f6A,Blindside Rocks,2021-08-17
47,Jam,f6C,Blindside Rocks,2021-08-17
48,Jim,f6C,Blindside Rocks,2021-08-17
49,Mantelicious,f6B,Froggatt Edge,2021-08-16
50,Crash Test,f5+,Froggatt Edge,2021-08-16
51,Jump Before You Look,f6B+,Froggatt Edge,2021-08-16
52,Dowager's Hump,f6C,Stanage North,2021-08-09
53,Trackside scoop NWB P23 /CC P12 / BB P11,f3+,RAC Boulders,2021-07-29
54,NWB17 39,f2,RAC Boulders,2021-07-29
55,NWB17 33,f3,RAC Boulders,2021-07-29
56,RAC Arete Righthand / BB P13,f4+,RAC Boulders,2021-07-29
57,The Bulge sds,f6A+,Cromlech boulders,2021-07-27
58,The Spike,f4,Cromlech boulders,2021-07-27
59,Spike Wall,f4,Cromlech boulders,2021-07-27
60,Brown's Mantel,f5,Cromlech boulders,2021-07-27
61,The Ramp,f5,Cromlech boulders,2021-07-27
62,Roadside RH,f5+,Cromlech boulders,2021-07-27
63,Slanting Arete,f6B,Back Tor,2021-07-17
64,Power Shart,f6A+,Back Tor,2021-07-17
65,Cocktail Sausage,f4+,Back Tor,2021-07-17
66,Short Stack,f6A,Back Tor,2021-07-17
67,Small but Big,f6A,Back Tor,2021-04-25
68,Little Limmock,f6B,Burbage South Edge,2021-04-19
69,Matterhorn Left (No Arête),f5+,Burbage South Edge,2021-04-19
70,Whale Rib,f4+,Burbage South Valley Boulders,2021-04-16
71,Gentle Rib Sit-start,f5,Burbage South Edge,2021-04-16
72,Gentle Slab,f3,Burbage South Edge,2021-04-16
73,Gentle Rib,f4,Burbage South Edge,2021-04-16
74,Scratcher Sitdown,f6B,Burbage South Edge,2021-04-16
75,Buckaroo Mantel,f6C,Stanage North,2021-04-12
76,A Bit More Slopey,f6A,Smallfield,2021-04-10
77,Slope Rib,f6A,Smallfield,2021-04-10
78,A Bit More Slopey Again,f5+,Smallfield,2021-04-10
79,Gripple Graunch,f6B,Stanage Popular,2021-03-18
80,Caley Slab,f6B,Burbage South Valley Boulders,2021-03-05
81,Piglet Arête,f6A,Burbage South Valley Boulders,2021-03-05
82,Doggy Bulge,f3+,Burbage South Valley Boulders,2021-02-28
83,Dog's Arse Left,f4+,Burbage South Valley Boulders,2021-02-28
84,Armoured Cartwheel,f6B,Burbage South Valley Boulders,2021-02-28
85,Pock-Man,f5,Burbage South Valley Boulders,2021-02-28
86,Bridge Wall,f5,Burbage West,2021-02-23
87,North Roof,f6A+,Burbage North,2021-01-23
88,Sharks,f3,Rivelin Edge,2021-01-02
89,Blocky Rib,f6A,Burbage West,2020-12-20
90,Zippy's Traverse,f7B,Stanage Plantation,2020-08-03
91,Sidetrack,f7A,Curbar Edge,2020-07-28
92,Crack 'n' Pockets,f6B+,Curbar Edge,2020-07-28
93,Right Arête,f5+,Hurkling Stones,2020-07-23
94,Crescent Slab Arête,f4+,Curbar Edge,2020-07-21
95,Mini-Arête,f4,Curbar Edge,2020-07-21
96,Toenail Pie Start,f5,Water-cum-Jolly,2020-07-15
97,Rubicon Start,f4+,Water-cum-Jolly,2020-07-15
98,Hanging Prow,f6C,Burbage South Quarries,2020-07-14
99,Mini-Prow,f5,Curbar Edge,2020-07-14
100,Mini Crack,f4+,Curbar Edge,2020-07-14
101,The Cornflake,f6C+,Stanage Popular,2020-07-14
102,Jerry's Finish,f6C,Stanage Plantation,2020-07-14
103,Nobody's Business,f3+,Stanage Plantation,2020-07-14
104,Slot Standup,f5,Stanage Plantation,2020-07-14
105,Scoop Arête,f5,Stanage Plantation,2020-07-14
106,Lone Scoop,f5+,Stanage Plantation,2020-07-14
107,The Lone Slab,f6A,Stanage Plantation,2020-07-14
108,Lone Boulder,f4,Stanage Plantation,2020-07-14
109,Crash 'n' Gurn,f7A,Burbage South Valley Boulders,2020-07-14
110,Cicely,f4+,Burbage South Valley Boulders,2020-07-14
111,KBHR,f5,Burbage South Valley Boulders,2020-07-14
112,Wall Past Left-hand in Slot,f5+,Burbage South Valley Boulders,2020-07-14
113,Hanging Prow Sit-start,f7A+,Burbage South Quarries,2020-07-14
114,Mini Millwheel,f5,Burbage South Quarries,2020-07-12
115,Sitting Duck,f6B,Burbage South Edge,2020-07-12
116,Rail Thing,f5+,Burbage South Edge,2020-07-12
117,Standup Arête,f6B,Burbage South Edge,2020-07-12
118,Las Lechuzas,f6C+,Smallfield,2020-07-10
119,Big Nose Right,f6A+,Smallfield,2020-07-10
120,Big Nose Left,f6A,Smallfield,2020-07-10
121,Sick,f6A,Higgar Tor,2020-07-07
122,Hanging Wall,f7A,Burbage North,2020-07-07
123,Walnut Whip,f6C,Secret Garden,2020-07-03
124,Sarah,f5+,Stanage North,2020-06-30
125,Iranu,f7A,Stanage North,2020-06-30
126,Hanging Wall Stand-start,f6C,Burbage North,2020-06-14
127,Little Roof,f6B+,Burbage West,2020-06-14
128,Trackside,f7A,Curbar Edge,2020-06-04
129,Mini Mother,f6A+,Mother Cap and Quarry,2020-06-01
130,Kodak Lightweight Service Sector,f6C,Burbage South Edge,2020-05-29
131,Cleo's Edge,f5+,Burbage North,2020-05-25
132,Short Arête Sit-start,f6B,Burbage West,2020-05-25
133,Buckstone Bulge,f6B,Stanage North,2020-05-25
134,Tiny Slab Right,f6A,Burbage North,2020-05-25
135,The Buckshelf,f6A,Stanage North,2020-05-25
136,Len's Edges,f6A+,Bell Hagg,2020-05-22
137,Nose Arête Right,f6B,Bell Hagg,2020-05-22
138,Lurcher's Nose Front,f6A,Bell Hagg,2020-05-22
139,Sitdown Groove,f6B,Bell Hagg,2020-05-21
140,Foxy Loxley,f5,Fox Hagg,2020-05-15
141,"Lurcher's Nose, Sit-start",f6B,Bell Hagg,2020-03-20
142,Punishment Sans Undercut,f6B,Bell Hagg,2020-03-18
143,Love You Rock,f4,Bell Hagg,2020-03-18
144,Lurcher's Nose,f5,Bell Hagg,2020-03-16
145,Low,f6A+,Bell Hagg,2020-03-16
146,Entering,f4,Bell Hagg,2020-03-16
147,Punishment,f6A,Bell Hagg,2020-03-16
148,Crime,f3+,Bell Hagg,2020-03-16
149,Getaway,f5+,Bell Hagg,2020-03-16
150,Sitdown Bulge,f6B,Secret Garden,2020-02-07
151,Pack,f6C,Burbage South Valley Boulders,2020-02-07
152,Rock Bottom,f6B,Burbage South Edge,2020-02-07
153,Alaska Right Sit-start,f6B,Burbage South Valley Boulders,2020-02-07
154,The Basin,f4+,Burbage South Valley Boulders,2020-01-10
155,Left Hand Line (Javu P29),f4+,Hound Tor,2019-11-24
156,The Cube Crack (Javu P13),f3,Bonehill Rocks,2019-11-24
157,The Green Traverse,f7A,Stanage Plantation,2019-10-30
158,Pock Sit-start,f6C,Burbage South Valley Boulders,2019-10-14
159,Bull Flakes,f6B,Stanage Plantation,2019-10-02
160,Useful Arête,f5,Burbage South Valley Boulders,2019-09-18
161,Open Flakeline,f5+,Burbage South Valley Boulders,2019-09-18
162,Puck,f6A,Burbage South Valley Boulders,2019-09-18
163,Alaska Right,f5+,Burbage South Valley Boulders,2019-09-16
164,Alaska,f6A,Burbage South Valley Boulders,2019-09-16
165,Vague Rib,f5+,Burbage South Valley Boulders,2019-09-16
166,Little Air,f5+,Burbage South Valley Boulders,2019-09-16
167,Huggy Sit-start,f6A,Burbage South Valley Boulders,2019-09-16
168,Huggy,f5,Burbage South Valley Boulders,2019-09-16
169,Pock,f5+,Burbage South Valley Boulders,2019-09-16
170,Central Groove Thing,f5+,Burbage South Edge,2019-09-16
171,Wall Past Slot,f4+,Burbage South Valley Boulders,2019-09-08
172,Sloping Mantel,f5,Burbage South Valley Boulders,2019-09-08
173,Mantel Past Slot,f5,Burbage South Valley Boulders,2019-09-08
174,Cobra Mantel,f5+,Burbage South Valley Boulders,2019-09-08
175,The Celtic Cross,f5+,Burbage South Quarries,2019-09-08
176,Thin Flake,f4,Curbar Edge,2019-08-30
177,Seams Simple Enough,f5+,Curbar Edge,2019-08-30
178,Dressed Arête,f6A,Curbar Edge,2019-08-30
179,Pebble Ledges Left,f4,Stanage Plantation,2019-08-23
180,Black Bulge,f4,Stanage Plantation,2019-08-23
181,Black Wall,f3,Stanage Plantation,2019-08-23
182,Black Arête,f4+,Stanage Plantation,2019-08-23
183,Crozzle Slab,f5,Stanage Plantation,2019-08-23
184,Tonto,f4+,Stanage Plantation,2019-08-23
185,Golden Arête,f6B+,Over Owler Tor,2019-08-19
186,Right Tower,f4+,Over Owler Tor,2019-08-19
187,Roof 2,f5+,Over Owler Tor,2019-08-19
188,Rock and Mantel,f6A+,Burbage South Valley Boulders,2019-08-17
189,Side pull Wall,f5+,Burbage South Valley Boulders,2019-08-17
190,Big Flakes,f2+,Burbage South Valley Boulders,2019-08-17
191,Pick,f3+,Burbage South Valley Boulders,2019-08-17
192,Pocket Passer,f6B,Burbage North,2019-08-13
193,Crozzle Arête Right-hand,f6A,Stanage Plantation,2019-05-22
194,Crozzle Wall,f6A+,Stanage Plantation,2019-05-22
195,Big Business,f5,Stanage Plantation,2019-05-22
196,Steep Side,f4+,Stanage Plantation,2019-05-22
197,Buckstone Wall,f2+,Stanage North,2019-05-22
198,Buxom,f3,Stanage North,2019-05-22
199,Pass the Buck,f4+,Stanage North,2019-05-22
200,Buckstone Groove,f5,Stanage North,2019-05-22
201,Buckrib,f5,Stanage North,2019-05-22
202,Chicken Head Rockover,f5,Dovestone Tor,2019-04-13
203,Stone Dove Crack,f4+,Dovestone Tor,2019-04-13
204,Nose Horn,f5+,The Wheelstones (AKA Coach...,2019-04-13
205,Arête and Seam,f4+,The Hurkling Stones (Rock...,2019-04-13
206,Baby Bulge,f4,The Hurkling Stones (Rock...,2019-04-13
207,The Shearing,f5+,Burbage South Valley Boulders,2019-04-10
208,Tiny Roof,f6A+,Burbage North,2019-04-10
209,Tiny Slab Left,f5,Burbage North,2019-04-10
210,Tiny Left Arete,f4+,Burbage North,2019-04-10
211,Banana Finger,f6A,Burbage North,2019-04-10
212,Route 2,S4a,Burbage North,2019-04-10
213,Route 1.5,VS5b,Burbage North,2019-04-10
214,Li'l Crack,f2+,Roaches Skyline,2018-10-06
215,Pancake,f4,Roaches Skyline,2018-10-06
216,Little Flake,f5+,Roaches Skyline,2018-10-06
217,Groovy Crack,f5,Roaches Skyline,2018-10-06
218,Harder Mantel,f6A+,Roaches Skyline,2018-10-06
219,Mantel,f4+,Roaches Skyline,2018-10-06
220,Easy Ramp,f3,Roaches Skyline,2018-10-06
221,Left Crack,f3+,Roaches Skyline,2018-10-06
222,Slab Walk,f3,Roaches Skyline,2018-10-06
223,Blister Slab,f4+,Roaches Lower Tier,2018-10-06
224,Blister's Sister,f4+,Roaches Lower Tier,2018-10-06
225,Squeezy Slab,f5,Roaches Lower Tier,2018-10-06
226,Pine Crack,f3,Roaches Lower Tier,2018-10-06
227,Pine Slab,f5+,Roaches Lower Tier,2018-10-06
228,Boss Slab,f4+,Roaches Lower Tier,2018-10-06
229,Tiger,f6B,Burbage South Valley Boulders,2018-10-01
230,Wall Past Flake,f4+,Burbage South Valley Boulders,2018-10-01
231,Chieftain,f5+,Burbage South Valley Boulders,2018-10-01
232,Cube Arête,f5,Stanage Popular,2018-09-01
233,Slotted Wall,f5,Stanage Popular,2018-09-01
234,Slotted Arête,f4,Stanage Popular,2018-09-01
235,Tweedle Dum,f3,Stanage Popular,2018-09-01
236,Steps,f3,Stanage Popular,2018-09-01
237,Staircase Flake,f5+,Stanage Popular,2018-09-01
238,Crescent Groovelet,f5+,Stanage Plantation,2018-09-01
239,The Lone Arête,f5+,Stanage Plantation,2018-09-01
240,The Cube Root,f5,Stanage Popular,2018-08-10
241,Cubing,f6A,Stanage Popular,2018-08-01
242,Matterhorn Left,f5,Burbage South Edge,2018-06-10
243,Get the Horn,f5+,Stanage Popular,2018-06-10
244,The High Road,f3+,Stanage Popular,2018-06-10
245,Slots,f5,Stanage Popular,2018-06-08
246,Upper Cube Traverse,f4+,Stanage Popular,2018-05-01
247,The Short Arête,f5+,Curbar Edge,2018-05-01
248,Crescent Slab,f5+,Curbar Edge,2018-05-01
249,Track Crack,f4+,Curbar Edge,2018-05-01
250,Trackside Scoop,f4+,Curbar Edge,2018-05-01
251,Three Pocket Wall,f5+,Curbar Edge,2018-05-01
252,Side-wall Slot,f6A,Curbar Edge,2018-05-01
253,Side-wall Flake,f5,Curbar Edge,2018-05-01
254,Side-wall Arête,f4,Curbar Edge,2018-05-01
255,Naughty,f5,Froggatt Edge,2018-05-01
256,Mini Mantel,f4,Froggatt Edge,2018-05-01
257,Air Bear,f5,Froggatt Edge,2018-05-01
258,Flatulence,f4+,Froggatt Edge,2018-03-05
259,Bear Poo,f3+,Froggatt Edge,2018-03-05
260,Pooh Bear,f4,Froggatt Edge,2018-03-05
261,Teddy,f4,Froggatt Edge,2018-03-05
262,Hairpin Arête,f5,Froggatt Edge,2018-03-05
263,Hairpin Scoop,f4+,Froggatt Edge,2018-03-05
264,The Eye Socket,f5+,Over Owler Tor,2018-03-05
265,Friend Slot Wall,f4+,Over Owler Tor,2018-03-05
266,Flake Arête,f2+,Over Owler Tor,2018-03-05
267,Lil' Arête,f3+,Over Owler Tor,2018-03-05
